K,R2,MAE,RMSE,Execution_Time_Seconds
1,-0.7263566589322821,1015.479,1291.842743138653,1.4953148000058718
2,-0.3556210370723616,900.557,1144.7576057838621,0.006326100003207102
3,-0.1965509088615498,848.6306666666668,1075.4989191585043,0.0072336000157520175
4,-0.1410026643160791,824.1555,1050.2379735088614,0.0071820000011939555
5,-0.08705590374937411,799.6348,1025.1096628946582,0.008593899983679876
6,-0.04851884279033891,788.1818333333332,1006.7751966468649,0.009855100011918694
7,-0.03045579248631891,780.4755714285714,998.0655610648398,0.01044379998347722
8,-0.022513329925336834,774.52775,994.2117167164396,0.010818200011271983
9,-0.009292406247339624,767.6285555555555,987.7633103864908,0.010180500015849248
10,0.002655039374053203,759.5945,981.8996078673216,0.01020970000536181
11,0.01570314634638159,756.108,975.4554425480922,0.011029399989638478
12,0.01946504252978898,754.8865,973.5896055320229,0.010948299983283505
13,0.023043024043122973,753.3567692307693,971.8116631889428,0.011243699991609901
14,0.028424903941590696,748.7487857142856,969.1311988933012,0.012268999998923391
15,0.03705562380023375,745.4041333333334,964.8170916396537,0.012423799984389916
16,0.037377217358869674,745.9404375,964.6559686922554,0.011638700001640245
17,0.041151722246146716,743.779705882353,962.7628725628482,0.011696100002154708
18,0.04660642739698195,740.2724444444445,960.0204794947775,0.01275649998569861
19,0.04764710909162162,739.1163684210526,959.4963787699129,0.013164800009690225
20,0.04808109744435829,737.8903,959.2777320333252,0.012602200004039332
21,0.052190769099589085,735.3062857142857,957.2047714611208,0.01298480000696145
22,0.05453573112610788,733.2198181818181,956.0199344566579,0.012922399997478351
23,0.0577944955162939,732.5903913043479,954.3709388337217,0.012162700004409999
24,0.05554913651177773,733.984375,955.507437297535,0.012114199984353036
25,0.05919133137363464,733.1662,953.6632407813568,0.014445799984969199
26,0.05791085723762013,733.6749615384615,954.3120049421086,0.015579600003547966
27,0.05931843822526828,733.6254814814814,953.5988168285393,0.0157924999948591
28,0.05688972497648337,735.9319642857143,954.8290551947676,0.016767599998274818
29,0.05633224198227793,736.8562068965517,955.1112185513349,0.01874089997727424
30,0.05857360375140941,735.6644333333334,953.9762733230493,0.017412900022463873
